# 🤖 에이전트(무작위 밸류 진화) 시뮬레이션 리포트
> **예산**: 260 골드 / **기물 풀**: 4코 10장, 5코 7장 고증 반영 / **분석 시간**: 2026. 5. 31. 오후 2:09:00
> **평가 방식**: 시너지를 전혀 고려하지 않고 맹목적 목표 달성과 랜덤 배치로 짜여진 봇들의 덱 400개가 토너먼트 배틀로얄을 치른 후 살아남은 승률 기반 순위표입니다.

---

## 🏆 최종 최적해 순위 통계 (Top 45)

| 순위 | 덱 타입 | 덱 명칭 (발견된 시너지) | 승률 | 🛡️ 메인 탱커 | ⚔️ 메인 딜러 | 🎯 서브 딜러 | 코스트 | 구성 유닛 상세 |
|:---:|:---:|:---|:---:|:---|:---|:---|:---:|:---|
| 🥇 | 6L | **수학2_사회1_창체1** | **98.5%** | 바른생활 사나이(3★) | 팝송 매니아(3★) | 수학천재(3★) | 76G | **바른생활 사나이(3★)**, **팝송 매니아(3★)**, **수학천재(3★)**, 역사 매니아(3★), 진로진학 멘토(1★), 칠판 낙서꾼(1★) |
| 🥈 | 6L | **사회1_창체1** | **98.0%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 팝송 매니아(3★) | 68G | **역사 매니아(3★)**, **팝송 매니아(3★)**, **바른생활 사나이(3★)**, 진로진학 멘토(2★), 역사 매니아(2★), 골목대장(1★) |
| 🥉 | 6L | **선도부2_창체1_사회1** | **97.5%** | 바른생활 사나이(3★) | 체육부장(3★) | 진로진학 멘토(3★) | 76G | **바른생활 사나이(3★)**, **체육부장(3★)**, **진로진학 멘토(3★)**, 문학소녀(3★), 수학천재(1★), 역사 매니아(1★) |
| 4 | 6L | **체육2_선도부2_창체1** | **97.2%** | 바른생활 사나이(3★) | 진로진학 멘토(3★) | 수학천재(3★) | 84G | **바른생활 사나이(3★)**, **진로진학 멘토(3★)**, **수학천재(3★)**, 골목대장(3★), 체육부장(2★), 진로진학 멘토(2★) |
| 5 | 6L | **보건부2_창체1_사회1** | **93.2%** | 바른생활 사나이(3★) | 진로진학 멘토(3★) | 팝송 매니아(3★) | 78G | **진로진학 멘토(3★)**, **팝송 매니아(3★)**, 문학소녀(3★), **바른생활 사나이(3★)**, 골목대장(1★), 역사 매니아(1★), 역사 매니아(1★) |
| 6 | 6L | **수학2_체육2_장난꾸러기2** | **93.2%** | 골목대장(3★) | 칠판 낙서꾼(3★) | 체육부장(3★) | 76G | **칠판 낙서꾼(3★)**, **골목대장(3★)**, **체육부장(3★)**, 수학천재(3★), 급식 당번(1★), 합창단 에이스(1★) |
| 7 | 6L | **사회1** | **92.5%** | 바른생활 사나이(3★) | 급식 당번(3★) | 수학천재(3★) | 80G | **급식 당번(3★)**, **바른생활 사나이(3★)**, 문학소녀(3★), **수학천재(3★)**, 역사 매니아(2★), 골목대장(1★) |
| 8 | 6L | **체육2** | **92.0%** | 골목대장(3★) | 과학실험부장(3★) | 수학천재(3★) | 80G | **과학실험부장(3★)**, **수학천재(3★)**, **골목대장(3★)**, 체육부장(3★), 수학천재(2★), 급식 당번(1★) |
| 9 | 6L | **체육2_선도부2_창체1** | **91.5%** | 바른생활 사나이(3★) | 골목대장(3★) | 진로진학 멘토(3★) | 72G | **바른생활 사나이(3★)**, **골목대장(3★)**, **진로진학 멘토(3★)**, 체육부장(2★), 체육부장(2★), 바른생활 사나이(2★) |
| 10 | 6L | **수학2_장난꾸러기2_창체1** | **91.0%** | 골목대장(3★) | 진로진학 멘토(3★) | 급식 당번(3★) | 76G | **진로진학 멘토(3★)**, **골목대장(3★)**, **급식 당번(3★)**, 팝송 매니아(3★), 수학천재(1★), 칠판 낙서꾼(1★) |
| 11 | 6L | **선도부2_사회1** | **90.5%** | 바른생활 사나이(3★) | 팝송 매니아(3★) | 체육부장(3★) | 72G | **바른생활 사나이(3★)**, **팝송 매니아(3★)**, **체육부장(3★)**, 역사 매니아(2★), 역사 매니아(2★), 바른생활 사나이(2★) |
| 12 | 6L | **수학2_장난꾸러기2_창체1** | **90.2%** | 골목대장(3★) | 수학천재(3★) | 합창단 에이스(3★) | 76G | **수학천재(3★)**, **합창단 에이스(3★)**, 진로진학 멘토(3★), **골목대장(3★)**, 급식 당번(1★), 칠판 낙서꾼(1★) |
| 13 | 6L | **체육2_사회1** | **90.0%** | 골목대장(3★) | 팝송 매니아(3★) | 합창단 에이스(3★) | 72G | **골목대장(3★)**, **팝송 매니아(3★)**, **합창단 에이스(3★)**, 체육부장(2★), 역사 매니아(2★), 체육부장(2★) |
| 14 | 6L | **체육2_장난꾸러기2_사회1** | **90.0%** | 골목대장(3★) | 급식 당번(3★) | 역사 매니아(3★) | 76G | **급식 당번(3★)**, **골목대장(3★)**, **역사 매니아(3★)**, 진로진학 멘토(3★), 체육부장(1★), 칠판 낙서꾼(1★) |
| 15 | 6L | **창체1** | **89.7%** | 바른생활 사나이(3★) | 급식 당번(3★) | 진로진학 멘토(3★) | 72G | **바른생활 사나이(3★)**, **급식 당번(3★)**, **진로진학 멘토(3★)**, 합창단 에이스(2★), 합창단 에이스(2★), 급식 당번(2★) |
| 16 | 6L | **보건부2_장난꾸러기2** | **89.5%** | 골목대장(3★) | 과학실험부장(3★) | 팝송 매니아(3★) | 76G | **과학실험부장(3★)**, **팝송 매니아(3★)**, 문학소녀(3★), **골목대장(3★)**, 칠판 낙서꾼(1★), 급식 당번(1★) |
| 17 | 6L | **장난꾸러기2_사회1** | **89.0%** | 골목대장(3★) | 칠판 낙서꾼(3★) | 과학실험부장(3★) | 76G | **골목대장(3★)**, **칠판 낙서꾼(3★)**, **과학실험부장(3★)**, 바른생활 사나이(3★), 역사 매니아(1★), 급식 당번(1★) |
| 18 | 6L | **보건부2_사회1** | **88.5%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 문학소녀(3★) | 76G | **바른생활 사나이(3★)**, **역사 매니아(3★)**, **문학소녀(3★)**, 과학실험부장(3★), 팝송 매니아(1★), 칠판 낙서꾼(1★) |
| 19 | 6L | **수학2** | **88.5%** | 바른생활 사나이(3★) | 칠판 낙서꾼(3★) | 급식 당번(3★) | 68G | **바른생활 사나이(3★)**, **칠판 낙서꾼(3★)**, **급식 당번(3★)**, 수학천재(2★), 수학천재(2★), 합창단 에이스(1★) |
| 20 | 6L | **수학2_장난꾸러기2** | **87.7%** | 골목대장(3★) | 수학천재(3★) | 칠판 낙서꾼(3★) | 72G | **수학천재(3★)**, **칠판 낙서꾼(3★)**, **골목대장(3★)**, 바른생활 사나이(2★), 바른생활 사나이(2★), 수학천재(2★) |
| 21 | 6L | **보건부2_창체1_사회1** | **87.7%** | 골목대장(3★) | 팝송 매니아(3★) | 진로진학 멘토(3★) | 80G | **팝송 매니아(3★)**, **진로진학 멘토(3★)**, **골목대장(3★)**, 역사 매니아(3★), 팝송 매니아(2★), 문학소녀(1★) |
| 22 | 6L | **선도부2_보건부2_사회1** | **87.0%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 문학소녀(3★) | 76G | **역사 매니아(3★)**, **바른생활 사나이(3★)**, **문학소녀(3★)**, 진로진학 멘토(3★), 체육부장(1★), 팝송 매니아(1★) |
| 23 | 8L | **국어2_도덕2_육상부2** | **86.7%** | 전교 학생회장(2★) | 논술의 신(2★) | 기부 천사(1★) | 53G | **전교 학생회장(2★)**, **논술의 신(2★)**, **기부 천사(1★)**, 나이팅게일(1★), 기부 천사(1★), 외고 전학생(1★), 교장 선생님(1★), 외고 전학생(1★) |
| 24 | 6L | **수학2_사회1** | **86.5%** | 바른생활 사나이(3★) | 수학천재(3★) | 역사 매니아(3★) | 80G | **바른생활 사나이(3★)**, **수학천재(3★)**, **역사 매니아(3★)**, 칠판 낙서꾼(3★), 바른생활 사나이(2★), 팝송 매니아(1★) |
| 25 | 6L | **무지성잡덱** | **85.7%** | 골목대장(3★) | 급식 당번(3★) | 과학실험부장(2★) | 72G | **급식 당번(3★)**, 문학소녀(3★), **골목대장(3★)**, **과학실험부장(2★)**, 과학실험부장(2★), 골목대장(2★) |
| 26 | 6L | **창체1** | **85.7%** | 바른생활 사나이(2★) | 문학소녀(3★) | 과학실험부장(3★) | 60G | **문학소녀(3★)**, **과학실험부장(3★)**, 칠판 낙서꾼(2★), **바른생활 사나이(2★)**, 진로진학 멘토(2★), 칠판 낙서꾼(2★) |
| 27 | 6L | **체육2_선도부2_사회1** | **85.0%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 골목대장(3★) | 72G | **바른생활 사나이(3★)**, **역사 매니아(3★)**, **골목대장(3★)**, 체육부장(2★), 수학천재(2★), 체육부장(2★) |
| 28 | 6L | **무지성잡덱** | **84.2%** | 골목대장(3★) | 과학실험부장(3★) | 팝송 매니아(3★) | 72G | **골목대장(3★)**, **과학실험부장(3★)**, **팝송 매니아(3★)**, 급식 당번(2★), 급식 당번(2★), 과학실험부장(2★) |
| 29 | 6L | **체육2_선도부2_창체1** | **83.7%** | 바른생활 사나이(3★) | 진로진학 멘토(3★) | 체육부장(3★) | 68G | **바른생활 사나이(3★)**, **진로진학 멘토(3★)**, **체육부장(3★)**, 골목대장(2★), 골목대장(2★), 역사 매니아(1★) |
| 30 | 8L | **음악2_선도부2** | **83.2%** | 교장 선생님(1★) | 천재 피아니스트(2★) | 천재 피아니스트(2★) | 53G | **천재 피아니스트(2★)**, **천재 피아니스트(2★)**, 전교 체육부장(1★), 피카소의 재림(1★), 수석 연구원(1★), **교장 선생님(1★)**, 외고 전학생(1★), 교장 선생님(1★) |
| 31 | 6L | **체육2_선도부2** | **83.0%** | 바른생활 사나이(3★) | 골목대장(3★) | 합창단 에이스(3★) | 84G | **바른생활 사나이(3★)**, **골목대장(3★)**, **합창단 에이스(3★)**, 체육부장(3★), 골목대장(2★), 바른생활 사나이(2★) |
| 32 | 8L | **국어2_육상부2_사회1** | **83.0%** | 전교 학생회장(1★) | 나이팅게일(2★) | 수능 만점자(2★) | 52G | **나이팅게일(2★)**, **수능 만점자(2★)**, **전교 학생회장(1★)**, 피카소의 재림(1★), 논술의 신(1★), 외고 전학생(1★), 외고 전학생(1★), 피카소의 재림(1★) |
| 33 | 6L | **체육2_창체1** | **82.5%** | 골목대장(3★) | 문학소녀(3★) | 체육부장(3★) | 84G | **문학소녀(3★)**, **골목대장(3★)**, **체육부장(3★)**, 과학실험부장(3★), 진로진학 멘토(2★), 체육부장(2★) |
| 34 | 6L | **체육2_장난꾸러기2_사회1** | **82.5%** | 골목대장(3★) | 문학소녀(3★) | 체육부장(3★) | 78G | **골목대장(3★)**, **문학소녀(3★)**, **체육부장(3★)**, 급식 당번(3★), 칠판 낙서꾼(1★), 역사 매니아(1★), 진로진학 멘토(1★) |
| 35 | 6L | **장난꾸러기2_사회1** | **82.2%** | 바른생활 사나이(3★) | 칠판 낙서꾼(3★) | 골목대장(3★) | 80G | **바른생활 사나이(3★)**, **칠판 낙서꾼(3★)**, **골목대장(3★)**, 역사 매니아(3★), 바른생활 사나이(2★), 과학실험부장(1★) |
| 36 | 6L | **체육2_선도부2** | **81.7%** | 골목대장(3★) | 수학천재(3★) | 합창단 에이스(3★) | 80G | **수학천재(3★)**, **합창단 에이스(3★)**, **골목대장(3★)**, 문학소녀(3★), 바른생활 사나이(2★), 체육부장(1★) |
| 37 | 6L | **선도부2_사회1_창체1** | **81.2%** | 바른생활 사나이(3★) | 역사 매니아(3★) | 급식 당번(3★) | 76G | **역사 매니아(3★)**, **급식 당번(3★)**, 진로진학 멘토(3★), **바른생활 사나이(3★)**, 체육부장(1★), 합창단 에이스(1★) |
| 38 | 8L | **국어2_수학2_육상부2** | **81.2%** | 전교 학생회장(2★) | 나이팅게일(2★) | 수능 만점자(1★) | 45G | **나이팅게일(2★)**, **전교 학생회장(2★)**, **수능 만점자(1★)**, 논술의 신(1★), 천재 퀀트(1★), 올림피아드 금상(1★), 육상부 에이스(1★), 영어 프리토커(1★) |
| 39 | 6L | **장난꾸러기2** | **80.7%** | 골목대장(2★) | 칠판 낙서꾼(3★) | 합창단 에이스(3★) | 60G | **칠판 낙서꾼(3★)**, **합창단 에이스(3★)**, **골목대장(2★)**, 문학소녀(2★), 골목대장(2★), 문학소녀(2★) |
| 40 | 6L | **사회1** | **80.7%** | 골목대장(3★) | 합창단 에이스(3★) | 역사 매니아(2★) | 68G | **합창단 에이스(3★)**, 문학소녀(3★), **골목대장(3★)**, **역사 매니아(2★)**, 역사 매니아(2★), 급식 당번(1★) |
